OBD1 ID,OBD2 ID,OBD3 ID,Count,Frequency
16,176,190,4,8.872563372283887e-06
14,72,182,4,8.872563372283887e-06
4,96,192,1,2.2181408430709716e-06
8,20,181,1,2.2181408430709716e-06
10,110,194,1,2.2181408430709716e-06
3,158,186,10,2.2181408430709717e-05
17,140,197,14,3.10539718029936e-05
5,126,186,4,8.872563372283887e-06
14,139,193,4,8.872563372283887e-06
17,83,194,1,2.2181408430709716e-06
4,179,191,4,8.872563372283887e-06
10,98,192,2,4.436281686141943e-06
4,96,186,5,1.1090704215354859e-05
7,96,192,2,4.436281686141943e-06
14,47,192,1,2.2181408430709716e-06
3,164,193,11,2.439954927378069e-05
3,79,186,9,1.9963267587638745e-05
16,96,188,1,2.2181408430709716e-06
7,96,195,4,8.872563372283887e-06
12,77,192,2,4.436281686141943e-06
16,166,198,2,4.436281686141943e-06
17,121,182,6,1.3308845058425829e-05
5,28,183,1,2.2181408430709716e-06
14,78,197,14,3.10539718029936e-05
18,101,185,1,2.2181408430709716e-06
16,96,197,1,2.2181408430709716e-06
16,103,181,2,4.436281686141943e-06
6,68,198,1,2.2181408430709716e-06
16,43,198,1,2.2181408430709716e-06
9,151,195,1,2.2181408430709716e-06
1,44,195,3,6.6544225292129145e-06
14,78,186,2,4.436281686141943e-06
11,117,193,6,1.3308845058425829e-05
16,165,186,2,4.436281686141943e-06
3,164,184,1,2.2181408430709716e-06
6,104,190,3,6.6544225292129145e-06
16,39,186,2,4.436281686141943e-06
11,133,191,3,6.6544225292129145e-06
14,78,198,1,2.2181408430709716e-06
5,153,198,2,4.436281686141943e-06
9,85,191,1,2.2181408430709716e-06
14,78,189,1,2.2181408430709716e-06
16,98,186,2,4.436281686141943e-06
17,118,192,3,6.6544225292129145e-06
4,67,194,4,8.872563372283887e-06
10,33,193,3,6.6544225292129145e-06
3,66,186,2,4.436281686141943e-06
16,159,193,1,2.2181408430709716e-06
3,44,184,2,4.436281686141943e-06
10,152,192,4,8.872563372283887e-06
17,64,184,3,6.6544225292129145e-06
3,34,190,1,2.2181408430709716e-06
16,110,191,2,4.436281686141943e-06
16,63,189,1,2.2181408430709716e-06
6,104,188,7,1.55269859014968e-05
18,143,189,1,2.2181408430709716e-06
11,32,195,1,2.2181408430709716e-06
5,102,190,1,2.2181408430709716e-06
15,69,190,2,4.436281686141943e-06
7,72,183,2,4.436281686141943e-06
7,72,188,1,2.2181408430709716e-06
10,134,184,1,2.2181408430709716e-06
10,33,198,1,2.2181408430709716e-06
17,67,192,2,4.436281686141943e-06
6,28,192,2,4.436281686141943e-06
11,27,191,1,2.2181408430709716e-06
4,67,183,1,2.2181408430709716e-06
12,153,186,7,1.55269859014968e-05
16,112,186,1,2.2181408430709716e-06
17,133,191,1,2.2181408430709716e-06
16,176,186,4,8.872563372283887e-06
6,55,186,1,2.2181408430709716e-06
17,133,196,1,2.2181408430709716e-06
4,120,186,2,4.436281686141943e-06
10,33,192,2,4.436281686141943e-06
1,74,192,1,2.2181408430709716e-06
12,107,194,1,2.2181408430709716e-06
16,83,181,1,2.2181408430709716e-06
11,40,196,1,2.2181408430709716e-06
18,50,192,3,6.6544225292129145e-06
6,59,195,7,1.55269859014968e-05
10,63,189,1,2.2181408430709716e-06
6,33,190,1,2.2181408430709716e-06
6,19,198,2,4.436281686141943e-06
12,77,195,1,2.2181408430709716e-06
6,55,193,1,2.2181408430709716e-06
7,72,182,1,2.2181408430709716e-06
3,79,193,2,4.436281686141943e-06
14,27,191,1,2.2181408430709716e-06
11,40,197,1,2.2181408430709716e-06
5,114,186,1,2.2181408430709716e-06
9,39,194,1,2.2181408430709716e-06
16,159,192,1,2.2181408430709716e-06
14,72,186,1,2.2181408430709716e-06
5,62,191,2,4.436281686141943e-06
16,100,191,1,2.2181408430709716e-06
4,77,197,2,4.436281686141943e-06
18,143,192,1,2.2181408430709716e-06
10,33,186,7,1.55269859014968e-05
WT,,,358320,0.7948042268891905
K340H,,,20480,0.0454275244660935
