OBD1 ID,OBD2 ID,OBD3 ID,Count,Frequency
12,21,,99,0.0005302766544363802
6,98,,56,0.00029995447119633624
6,90,,193,0.0010337716596588017
3,103,,67,0.0003588740994670452
1,58,,33,0.00017675888481212673
7,56,,36,0.0001928278743405019
15,118,,24,0.00012855191622700125
3,28,,43,0.00023032218324004391
16,110,,95,0.0005088513350652134
7,152,,58,0.0003106671308819197
17,168,,50,0.00026781649213958596
11,100,,37,0.0001981842041832936
18,42,,92,0.0004927823455368382
4,120,,44,0.00023567851308283565
16,118,,128,0.0006856102198773401
12,42,,109,0.0005838399528642974
6,101,,88,0.0004713570261656713
8,108,,17,9.105760732745923e-05
14,57,,62,0.0003320924502530866
14,97,,96,0.000514207664908005
6,73,,101,0.0005409893141219636
3,62,,27,0.00014462090575537642
4,42,,53,0.0002838854816679611
12,23,,72,0.0003856557486810038
3,56,,35,0.00018747154449771017
18,150,,73,0.0003910120785237955
6,143,,80,0.00042850638742333755
17,60,,99,0.0005302766544363802
3,79,,73,0.0003910120785237955
16,169,,127,0.0006802538900345484
6,94,,74,0.0003963684083665872
5,147,,100,0.0005356329842791719
2,,,404,0.0021639572564878546
8,103,,22,0.00011783925654141782
11,113,,35,0.00018747154449771017
12,116,,71,0.00038029941883821206
6,140,,85,0.00045528803663729615
6,120,,58,0.0003106671308819197
10,113,,86,0.00046064436648008783
12,151,,91,0.00048742601569404644
14,54,,107,0.0005731272931787139
5,64,,102,0.0005463456439647554
18,161,,67,0.0003588740994670452
,174,,24,0.00012855191622700125
10,162,,94,0.0005034950052224216
7,,,593,0.0031763035967754894
12,115,,87,0.00046600069632287956
1,54,,31,0.0001660462251265433
16,64,,129,0.0006909665497201317
11,54,,69,0.0003695867591526286
14,56,,68,0.0003642304293098369
9,,,377,0.0020193363507324783
5,143,,102,0.0005463456439647554
16,129,,119,0.0006374032512922146
10,165,,141,0.0007552425078336324
10,34,,77,0.00041243739789496235
5,116,,62,0.0003320924502530866
5,74,,105,0.0005624146334931305
11,179,,50,0.00026781649213958596
11,175,,42,0.0002249658533972522
4,71,,27,0.00014462090575537642
4,158,,48,0.0002571038324540025
,46,,39,0.00020889686386887704
16,42,,136,0.0007284608586196738
14,20,,70,0.00037494308899542033
12,131,,83,0.0004445753769517127
15,122,,51,0.0002731728219823777
10,31,,135,0.0007231045287768821
13,77,,22,0.00011783925654141782
6,161,,82,0.00043921904710892096
12,91,,122,0.0006534722408205897
6,139,,83,0.0004445753769517127
11,173,,49,0.0002624601622967942
16,124,,105,0.0005624146334931305
7,20,,63,0.0003374487800958783
13,162,,13,6.963228795629234e-05
5,171,,87,0.00046600069632287956
15,179,,61,0.00032673612041029485
4,62,,23,0.00012319558638420954
6,44,,50,0.00026781649213958596
2,46,,30,0.00016068989528375159
1,70,,26,0.00013926457591258468
9,40,,25,0.00013390824606979298
8,,,302,0.0016176116125230992
11,,,475,0.0025442566753260667
10,35,,165,0.0008837944240606336
3,117,,80,0.00042850638742333755
7,142,,50,0.00026781649213958596
16,26,,82,0.00043921904710892096
7,68,,35,0.00018747154449771017
15,153,,56,0.00029995447119633624
14,70,,73,0.0003910120785237955
7,146,,44,0.00023567851308283565
9,157,,27,0.00014462090575537642
12,164,,112,0.0005999089423926725
10,164,,83,0.0004445753769517127
13,,,250,0.0013390824606979298
11,33,,55,0.00029459814135354457
3,59,,87,0.00046600069632287956
15,63,,47,0.0002517475026112108
17,119,,93,0.0004981386753796299
5,128,,87,0.00046600069632287956
18,166,,66,0.00035351776962425346
18,61,,71,0.00038029941883821206
15,113,,34,0.00018211521465491846
12,149,,93,0.0004981386753796299
2,160,,19,0.00010177026701304267
10,99,,113,0.0006052652722354642
2,19,,41,0.00021960952355446048
14,115,,55,0.00029459814135354457
16,28,,90,0.0004820696858512547
18,30,,54,0.00028924181151075283
2,52,,31,0.0001660462251265433
16,,,1487,0.007964862476231287
12,135,,70,0.00037494308899542033
4,159,,40,0.00021425319371166877
15,84,,70,0.00037494308899542033
14,,,951,0.005093869680494925
1,85,,22,0.00011783925654141782
5,84,,92,0.0004927823455368382
10,73,,111,0.0005945526125498809
,142,,20,0.00010712659685583439
10,153,,113,0.0006052652722354642
5,19,,66,0.00035351776962425346
10,,,1144,0.006127641340153727
3,44,,42,0.0002249658533972522
1,60,,16,8.570127748466751e-05
16,105,,87,0.00046600069632287956
10,134,,101,0.0005409893141219636
12,103,,62,0.0003320924502530866
5,57,,60,0.00032137979056750317
1,116,,34,0.00018211521465491846
13,143,,23,0.00012319558638420954
3,,,643,0.0034441200889150756
6,122,,57,0.000305310801039128
11,173,186,2,1.0712659685583439e-05
9,101,,37,0.0001981842041832936
6,63,,71,0.00038029941883821206
10,79,,110,0.0005891962827070891
2,117,,25,0.00013390824606979298
6,19,,83,0.0004445753769517127
13,148,,11,5.891962827070891e-05
16,97,,106,0.0005677709633359222
6,89,,45,0.00024103484292562735
6,97,,71,0.00038029941883821206
2,107,,36,0.0001928278743405019
18,164,,77,0.00041243739789496235
18,67,,83,0.0004445753769517127
9,67,,18,9.641393717025095e-05
8,128,,19,0.00010177026701304267
12,44,,111,0.0005945526125498809
17,131,,41,0.00021960952355446048
5,121,,135,0.0007231045287768821
5,149,,99,0.0005302766544363802
14,55,,50,0.00026781649213958596
16,127,,89,0.000476713356008463
3,29,,56,0.00029995447119633624
9,89,,26,0.00013926457591258468
18,151,,58,0.0003106671308819197
9,175,,21,0.0001124829266986261
18,102,,66,0.00035351776962425346
2,158,,26,0.00013926457591258468
3,175,,53,0.0002838854816679611
14,89,,92,0.0004927823455368382
9,106,,33,0.00017675888481212673
14,108,,80,0.00042850638742333755
15,134,,53,0.0002838854816679611
12,58,,106,0.0005677709633359222
12,61,,77,0.00041243739789496235
17,63,,99,0.0005302766544363802
9,113,,27,0.00014462090575537642
15,141,,33,0.00017675888481212673
5,125,,61,0.00032673612041029485
14,52,,46,0.0002463911727684191
12,51,,122,0.0006534722408205897
5,79,,123,0.0006588285706633814
5,54,,94,0.0005034950052224216
18,160,,22,0.00011783925654141782
