OBD1 ID,OBD2 ID,OBD3 ID,Count,Frequency
17,121,182,2,4.756762927692447e-06
17,118,192,1,2.3783814638462233e-06
14,139,193,1,2.3783814638462233e-06
18,143,189,13,3.0918959030000905e-05
18,57,192,1,2.3783814638462233e-06
10,158,188,7,1.6648670246923565e-05
18,93,191,1,2.3783814638462233e-06
18,129,192,1,2.3783814638462233e-06
6,55,193,1,2.3783814638462233e-06
3,158,186,7,1.6648670246923565e-05
3,164,193,3,7.13514439153867e-06
5,126,186,5,1.1891907319231117e-05
4,178,189,1,2.3783814638462233e-06
6,55,183,1,2.3783814638462233e-06
14,72,182,1,2.3783814638462233e-06
5,102,191,1,2.3783814638462233e-06
17,83,194,1,2.3783814638462233e-06
6,104,186,1,2.3783814638462233e-06
6,59,195,1,2.3783814638462233e-06
18,143,192,1,2.3783814638462233e-06
5,162,198,1,2.3783814638462233e-06
7,44,191,1,2.3783814638462233e-06
16,97,186,1,2.3783814638462233e-06
3,44,184,1,2.3783814638462233e-06
WT,,,156457,0.3721144286889886
K340H,,,217838,0.5181018613213336
