ID,Count,Frequency
34,2,0.003367003367003367
40,2,0.003367003367003367
44,3,0.005050505050505051
64,1,0.0016835016835016834
68,1,0.0016835016835016834
72,2,0.003367003367003367
78,1,0.0016835016835016834
94,3,0.005050505050505051
102,3,0.005050505050505051
110,2,0.003367003367003367
118,3,0.005050505050505051
121,1,0.0016835016835016834
123,4,0.006734006734006734
133,1,0.0016835016835016834
139,1,0.0016835016835016834
143,6,0.010101010101010102
147,1,0.0016835016835016834
155,234,0.3939393939393939
158,12,0.020202020202020204
161,4,0.006734006734006734
164,2,0.003367003367003367
176,2,0.003367003367003367
