ID,Count,Frequency
1,4451,0.02262618252431133
2,4281,0.021762005703567018
3,18333,0.09319384502767908
4,9889,0.050269674002002857
5,18005,0.09152649210294887
6,12670,0.06440659011076713
7,12482,0.06345091221488519
8,4380,0.022265261616823996
9,5118,0.026016805697466946
10,15415,0.07836050406925615
11,9329,0.047422973886609834
12,14327,0.07282977241649256
13,4298,0.021848423385641448
14,13653,0.06940356549189453
15,7545,0.038354200661857775
16,22688,0.11533202181792303
17,8922,0.04535403290988669
18,10933,0.055576736359985564
